Comp,Day,Venue,GF,GA,Team,Opponent,xGA,Poss,Attendance,Referee,SoT,xG.1,Saves,CS,CPA,CrdY,CrdR,Fls,Off.1,Crs.1,PKwon,PKcon,O_FK,O_CS,O_Cmp.4,O_Ast,O_Dead,O_TB,O_Sw,O_Crs,O_TI,O_CK,O_In,O_Out,O_Str,O_Off,O_CPA,O_CrdY,O_CrdR,O_Fls,FTR,weight
4,3,0,2,0,1,25,0.9,51.0,74437.0,24,3.0,2.7,4.0,1.0,9.0,2.0,0.0,13.0,3.0,13.0,1.0,0.0,0.0,0.0,449.0,0.0,52.0,1.0,1.0,12.0,13.0,6.0,2.0,3.0,0.0,3.0,3.0,3.0,0.0,11.0,0.0,0.13503514613392528
24,4,1,0,1,1,8,1.6,46.0,41615.0,5,2.0,0.7,7.0,0.0,1.0,3.0,0.0,20.0,0.0,21.0,0.0,0.0,0.0,1.0,395.0,1.0,59.0,1.0,4.0,19.0,27.0,4.0,3.0,0.0,0.0,0.0,6.0,1.0,0.0,16.0,0.0,0.13528539659006672
24,0,0,4,1,1,21,1.1,65.0,75035.0,9,7.0,3.1,4.0,0.0,9.0,1.0,0.0,10.0,1.0,37.0,0.0,0.0,0.0,0.0,279.0,1.0,42.0,1.0,1.0,12.0,12.0,4.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,9.0,0.0,0.13594040968342644
4,2,1,0,1,1,22,1.1,68.0,36000.0,25,3.0,1.5,5.0,0.0,4.0,1.0,0.0,13.0,1.0,21.0,0.0,0.0,1.0,1.0,247.0,1.0,41.0,1.0,3.0,22.0,11.0,4.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,7.0,1.0,0.1361432301380082
24,0,0,1,0,1,0,0.5,58.0,75018.0,6,4.0,1.2,2.0,1.0,9.0,0.0,0.0,9.0,2.0,27.0,0.0,0.0,0.0,0.0,333.0,0.0,38.0,2.0,6.0,17.0,17.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,9.0,1.0,0.1362957430918596
24,3,1,4,2,1,5,1.4,41.0,20552.0,3,6.0,1.2,1.0,0.0,5.0,1.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,441.0,1.0,51.0,0.0,1.0,25.0,25.0,5.0,2.0,3.0,0.0,0.0,9.0,2.0,0.0,12.0,2.0,0.13644859813084112
24,0,1,3,1,1,13,4.7,25.0,59547.0,18,4.0,1.8,13.0,0.0,4.0,2.0,1.0,10.0,0.0,4.0,0.0,0.0,2.0,0.0,594.0,1.0,51.0,2.0,2.0,26.0,24.0,12.0,11.0,0.0,0.0,4.0,6.0,3.0,0.0,11.0,0.0,0.13665293897416697
4,3,0,2,1,1,24,0.8,56.0,74669.0,26,7.0,2.9,2.0,0.0,6.0,1.0,0.0,11.0,0.0,24.0,0.0,0.0,0.0,0.0,352.0,1.0,41.0,1.0,3.0,11.0,17.0,3.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,11.0,2.0,0.13680659670164919
24,2,0,1,0,1,2,0.8,57.0,74798.0,14,2.0,1.1,7.0,1.0,10.0,1.0,0.0,14.0,2.0,17.0,0.0,0.0,0.0,0.0,362.0,0.0,47.0,3.0,2.0,25.0,14.0,9.0,5.0,3.0,0.0,0.0,5.0,2.0,0.0,12.0,0.0,0.13721804511278196
24,4,1,2,1,1,12,1.1,56.0,24782.0,5,3.0,0.7,4.0,0.0,6.0,3.0,0.0,7.0,1.0,12.0,0.0,0.0,0.0,0.0,375.0,1.0,47.0,0.0,3.0,22.0,24.0,6.0,4.0,2.0,0.0,1.0,1.0,1.0,0.0,14.0,0.0,0.1374246987951807
